date,# repo creted
20120616,47
20120617,59
20120618,56
20120619,67
20120620,78
20120621,78
20120622,79
20120623,66
20120624,58
20120625,71
20120626,73
20120627,66
20120628,62
20120629,65
20120630,58
20120701,51
20120702,76
20120703,65
20120704,74
20120705,69
20120706,93
20120707,63
20120708,66
20120709,64
20120710,208
20120711,120
20120712,96
20120713,207
20120714,74
20120715,93
20120716,106
20120717,99
20120718,98
20120719,98
20120720,79
20120721,88
20120722,72
20120723,69
20120724,82
20120725,73
20120726,83
20120727,82
20120728,75
20120729,65
20120730,89
20120731,98
20120801,80
20120802,75
20120803,70
20120804,57
20120805,75
20120806,90
20120807,97
20120808,132
20120809,100
20120810,72
20120811,81
20120812,72
20120813,108
20120814,98
20120815,84
20120816,100
20120817,87
20120818,62
20120819,74
20120820,98
20120821,93
20120822,88
20120823,84
20120824,88
20120825,61
20120826,77
20120827,115
20120828,91
20120829,87
20120830,93
20120831,77
20120901,68
20120902,63
20120903,77
20120904,97
20120905,81
20120906,112
20120907,87
20120908,69
20120909,72
20120910,89
20120911,106
20120912,111
20120913,111
20120914,81
20120915,81
20120916,88
20120917,92
20120918,100
20120919,137
20120920,85
20120921,123
20120922,66
20120923,72
20120924,99
20120925,85
20120926,87
20120927,110
20120928,87
20120929,57
20120930,78
20121001,81
20121002,85
20121003,117
20121004,78
20121005,85
20121006,77
20121007,74
20121008,112
20121009,117
20121010,91
20121011,121
20121012,88
20121013,80
20121014,62
20121015,99
20121016,84
20121017,116
20121018,88
20121019,91
20121020,78
20121021,78
20121022,120
20121023,124
20121024,131
20121025,105
20121026,79
20121027,89
20121028,64
20121029,107
20121030,112
20121031,90
20121101,121
20121102,110
20121103,87
20121104,74
20121105,111
20121106,132
20121107,92
20121108,127
20121109,89
20121110,101
20121111,110
20121112,127
20121113,108
20121114,127
20121115,113
20121116,120
20121117,117
20121118,98
20121119,149
20121120,114
20121121,111
20121122,108
20121123,92
20121124,83
20121125,86
20121126,118
20121127,117
20121128,124
20121129,116
20121130,137
20121201,87
20121202,85
20121203,132
20121204,117
20121205,109
20121206,122
20121207,115
20121208,73
20121209,96
20121210,97
20121211,102
20121212,121
20121213,92
20121214,89
20121215,73
20121216,82
20121217,109
20121218,112
20121219,128
20121220,120
20121221,106
20121222,84
20121223,89
20121224,69
20121225,77
20121226,84
20121227,105
20121228,122
20121229,81
20121230,87
20121231,110
20130101,68
20130102,108
20130103,95
20130104,151
20130105,109
20130106,113
20130107,107
20130108,127
20130109,147
20130110,113
20130111,122
20130112,105
20130113,124
20130114,161
20130115,113
20130116,132
20130117,114
20130118,136
20130119,116
20130120,123
20130121,135
20130122,136
20130123,161
20130124,158
20130125,135
20130126,117
20130127,101
20130128,144
20130129,121
20130130,137
20130131,135
20130201,128
20130202,115
20130203,98
20130204,129
20130205,119
20130206,163
20130207,122
20130208,110
20130209,106
20130210,100
20130211,128
20130212,119
20130213,145
20130214,130
20130215,128
20130216,125
20130217,101
20130218,163
20130219,165
20130220,167
20130221,138
20130222,170
20130223,109
20130224,148
20130225,151
20130226,138
20130227,143
20130228,141
20130301,160
20130302,135
20130303,156
20130304,162
20130305,161
20130306,161
20130307,151
20130308,170
20130309,112
20130310,136
20130311,150
20130312,176
20130313,142
20130314,125
20130315,149
20130316,121
20130317,129
20130318,161
20130319,179
20130320,140
20130321,154
20130322,155
20130323,124
20130324,117
20130325,175
20130326,158
20130327,162
20130328,145
20130329,152
20130330,113
20130331,97
20130401,174
20130402,156
20130403,144
20130404,148
20130405,150
20130406,116
20130407,135
20130408,139
20130409,161
20130410,157
20130411,165
20130412,152
20130413,125
20130414,121
20130415,184
20130416,169
20130417,179
20130418,185
20130419,182
20130420,161
20130421,157
20130422,151
20130423,167
20130424,177
20130425,189
20130426,161
20130427,130
20130428,128
20130429,132
20130430,124
20130501,133
20130502,129
20130503,139
20130504,105
20130505,128
20130506,259
20130507,176
20130508,174
20130509,170
20130510,121
20130511,123
20130512,123
20130513,179
20130514,193
20130515,145
20130516,199
20130517,241
20130518,145
20130519,117
20130520,207
20130521,192
20130522,191
20130523,204
20130524,170
20130525,138
20130526,131
20130527,146
20130528,187
20130529,190
20130530,175
20130531,179
20130601,106
20130602,207
20130603,199
20130604,161
20130605,184
20130606,171
20130607,155
20130608,135
20130609,138
20130610,153
20130611,156
20130612,165
20130613,173
20130614,195
20130615,125
20130616,126
20130617,230
20130618,167
20130619,149
20130620,162
20130621,184
20130622,124
20130623,121
20130624,165
20130625,206
20130626,187
20130627,167
20130628,199
20130629,137
20130630,110
20130701,167
20130702,186
20130703,191
20130704,172
20130705,134
20130706,130
20130707,121
20130708,177
20130709,193
20130710,196
20130711,177
20130712,180
20130713,119
20130714,135
20130715,163
20130716,170
20130717,161
20130718,160
20130719,171
20130720,111
20130721,130
20130722,191
20130723,170
20130724,156
20130725,216
20130726,176
20130727,142
20130728,160
20130729,184
20130730,175
20130731,159
20130801,191
20130802,155
20130803,123
20130804,127
20130805,180
20130806,194
20130807,160
20130808,165
20130809,155
20130810,140
20130811,144
20130812,163
20130813,186
20130814,180
20130815,144
20130816,159
20130817,145
20130818,137
20130819,182
20130820,176
20130821,168
20130822,169
20130823,163
20130824,131
20130825,134
20130826,180
20130827,168
20130828,195
20130829,176
20130830,156
20130831,143
20130901,139
20130902,163
20130903,176
20130904,182
20130905,199
20130906,164
20130907,161
20130908,144
20130909,180
20130910,180
20130911,192
20130912,194
20130913,153
20130914,161
20130915,154
20130916,193
20130917,154
20130918,165
20130919,159
20130920,169
20130921,155
20130922,157
20130923,203
20130924,206
20130925,209
20130926,217
20130927,172
20130928,142
20130929,164
20130930,184
20131001,176
20131002,154
20131003,200
20131004,183
20131005,171
20131006,159
20131007,188
20131008,237
20131009,223
20131010,218
20131011,189
20131012,156
20131013,230
20131014,197
20131015,217
20131016,233
20131017,206
20131018,215
20131019,205
20131020,216
20131021,213
20131022,242
20131023,233
20131024,205
20131025,185
20131026,165
20131027,153
20131028,192
20131029,197
20131030,219
20131031,213
20131101,188
20131102,137
20131103,197
20131104,201
20131105,249
20131106,232
20131107,250
20131108,215
20131109,174
20131110,178
20131111,230
20131112,209
20131113,227
20131114,211
20131115,190
20131116,158
20131117,180
20131118,213
20131119,182
20131120,197
20131121,174
20131122,178
